,apply,pared,public,gpa
1,very likely,0,0,3.25999999
2,somewhat likely,1,0,3.210000038
3,unlikely,1,1,3.940000057
4,somewhat likely,0,0,2.809999943
5,somewhat likely,0,0,2.529999971
6,unlikely,0,1,2.589999914
7,somewhat likely,0,0,2.559999943
8,somewhat likely,0,0,2.730000019
9,unlikely,0,0,3
10,somewhat likely,1,0,3.5
11,unlikely,1,1,3.650000095
12,somewhat likely,0,0,2.839999914
13,very likely,0,1,3.900000095
14,somewhat likely,0,0,2.680000067
15,unlikely,1,0,3.569999933
16,unlikely,0,0,3.089999914
17,unlikely,0,1,3.5
18,unlikely,0,0,2.170000076
19,very likely,0,1,3.359999895
20,somewhat likely,0,0,3.400000095
21,very likely,0,0,2.75
22,somewhat likely,1,0,3.200000048
23,unlikely,0,0,2.440000057
24,unlikely,0,0,2.829999924
25,unlikely,0,1,3
26,somewhat likely,0,1,3.269999981
27,somewhat likely,1,0,3.140000105
28,somewhat likely,0,0,3.369999886
29,very likely,0,1,2.789999962
30,unlikely,0,0,2.900000095
31,somewhat likely,0,0,3.380000114
32,unlikely,0,1,2.950000048
33,unlikely,0,0,2.980000019
34,unlikely,1,1,3.809999943
35,unlikely,0,0,2.74000001
36,unlikely,0,0,2.619999886
37,unlikely,0,0,2.849999905
38,somewhat likely,0,0,2.5
39,somewhat likely,0,0,2.75
40,unlikely,0,0,2.25999999
41,unlikely,0,0,2.029999971
42,somewhat likely,1,0,2.849999905
43,unlikely,0,0,2.720000029
44,somewhat likely,0,0,2.890000105
45,somewhat likely,1,0,2.470000029
46,unlikely,0,0,3.039999962
47,unlikely,0,0,3.099999905
48,unlikely,0,0,2.569999933
49,unlikely,0,0,2.089999914
50,somewhat likely,0,0,2.940000057
51,unlikely,0,0,3.450000048
52,unlikely,0,0,2.75999999
53,very likely,0,1,2.960000038
54,unlikely,0,0,2.890000105
55,somewhat likely,0,0,2.970000029
56,somewhat likely,0,1,3.910000086
57,somewhat likely,0,0,2.769999981
58,unlikely,0,0,2.50999999
59,unlikely,0,0,3.24000001
60,unlikely,0,0,2.440000057
61,somewhat likely,0,0,2.779999971
62,unlikely,0,0,2.940000057
63,unlikely,1,0,3.220000029
64,unlikely,0,0,3.5
65,very likely,1,0,3.569999933
66,somewhat likely,0,0,3.170000076
67,unlikely,0,1,3.230000019
68,unlikely,0,0,2.910000086
69,unlikely,0,0,3.279999971
70,unlikely,0,1,3.319999933
71,unlikely,0,0,3.619999886
72,unlikely,0,0,2.549999952
73,unlikely,0,0,2.970000029
74,very likely,1,0,3.630000114
75,unlikely,0,1,3.019999981
76,unlikely,0,1,3.599999905
77,unlikely,0,0,2.950000048
78,very likely,1,1,3.809999943
79,somewhat likely,1,0,2.680000067
80,unlikely,1,0,3.720000029
81,unlikely,0,0,2.49000001
82,unlikely,0,0,2.720000029
83,unlikely,1,0,2.25
84,unlikely,0,0,2.529999971
85,unlikely,0,0,3.25999999
86,very likely,0,0,2.569999933
87,unlikely,0,0,2.900000095
88,unlikely,0,0,3.049999952
89,somewhat likely,0,0,2.849999905
90,somewhat likely,0,0,4
91,very likely,1,0,3.400000095
92,somewhat likely,0,1,3.24000001
93,unlikely,0,1,3.50999999
94,very likely,0,0,2.549999952
95,unlikely,0,0,3.059999943
96,very likely,0,0,3
97,somewhat likely,0,0,3.130000114
98,unlikely,0,0,3.160000086
99,somewhat likely,0,0,2.470000029
100,somewhat likely,0,0,2.890000105
101,unlikely,0,0,2.74000001
102,unlikely,0,0,3.160000086
103,unlikely,0,0,2.920000076
104,somewhat likely,0,0,3.569999933
105,somewhat likely,1,0,3.49000001
106,somewhat likely,0,1,2.559999943
107,somewhat likely,1,0,3.119999886
108,somewhat likely,1,0,2.650000095
109,somewhat likely,0,0,2.50999999
110,somewhat likely,0,0,3.079999924
111,somewhat likely,0,0,2.650000095
112,unlikely,0,0,2.99000001
113,unlikely,0,0,2.630000114
114,somewhat likely,0,0,2.799999952
115,somewhat likely,0,1,3.460000038
116,unlikely,0,0,3.609999895
117,unlikely,0,0,3.079999924
118,unlikely,1,0,3.279999971
119,unlikely,0,1,3.309999943
120,unlikely,0,0,2.569999933
121,somewhat likely,0,0,3.390000105
122,unlikely,0,0,2.25999999
123,unlikely,0,0,2.420000076
124,unlikely,0,0,2.599999905
125,somewhat likely,1,1,3.440000057
126,somewhat likely,0,0,2.980000019
127,somewhat likely,1,0,3.089999914
128,unlikely,0,1,3.339999914
129,unlikely,0,0,2.839999914
130,unlikely,0,0,2.809999943
131,unlikely,0,0,2.789999962
132,unlikely,0,0,2.400000095
133,unlikely,0,0,3.019999981
134,somewhat likely,0,0,2.650000095
135,somewhat likely,0,0,2.549999952
136,somewhat likely,1,0,3.119999886
137,unlikely,0,0,2.980000019
138,very likely,1,0,3.609999895
139,unlikely,0,0,2.980000019
140,unlikely,0,0,3.190000057
141,unlikely,0,0,3.50999999
142,unlikely,0,0,3.099999905
143,unlikely,0,0,3.549999952
144,unlikely,0,0,2.980000019
145,very likely,0,0,2.99000001
146,unlikely,0,0,3.049999952
147,unlikely,0,0,2.99000001
148,unlikely,0,0,2.319999933
149,unlikely,0,0,2.5
150,unlikely,0,1,2.900000095
151,very likely,1,1,3.279999971
152,somewhat likely,0,0,2.950000048
153,somewhat likely,0,0,3.539999962
154,somewhat likely,0,0,3.109999895
155,unlikely,1,0,3.25
156,unlikely,0,0,2.440000057
157,unlikely,0,0,2.130000114
158,somewhat likely,0,0,3.220000029
159,somewhat likely,0,0,3.160000086
160,unlikely,0,0,3.390000105
161,somewhat likely,0,0,2.700000048
162,somewhat likely,0,0,3.089999914
163,somewhat likely,0,0,3.160000086
164,unlikely,0,0,2.279999971
165,unlikely,0,0,2.910000086
166,unlikely,0,0,3.650000095
167,unlikely,0,0,2.859999895
168,unlikely,0,1,3.390000105
169,unlikely,0,0,3.710000038
170,unlikely,0,0,3.25
171,unlikely,0,0,3.140000105
172,unlikely,0,0,2.410000086
173,somewhat likely,0,0,3.079999924
174,unlikely,0,1,3.019999981
175,somewhat likely,0,0,3.150000095
176,very likely,0,0,2.950000048
177,unlikely,0,0,2.220000029
178,somewhat likely,0,0,2.859999895
179,somewhat likely,1,0,2.880000114
180,very likely,0,0,2.619999886
181,unlikely,0,0,3.369999886
182,somewhat likely,0,0,3.50999999
183,somewhat likely,0,0,3.650000095
184,very likely,1,0,3.420000076
185,very likely,0,0,2.410000086
186,very likely,0,1,3.210000038
187,unlikely,0,0,3.220000029
188,unlikely,0,0,2.529999971
189,somewhat likely,0,0,2.640000105
190,unlikely,0,0,2.940000057
191,somewhat likely,0,0,2.559999943
192,unlikely,0,1,3.119999886
193,somewhat likely,0,0,3.339999914
194,unlikely,0,0,3.220000029
195,somewhat likely,0,0,3.049999952
196,somewhat likely,0,0,3.289999962
197,somewhat likely,0,0,2.710000038
198,unlikely,0,0,2.869999886
199,unlikely,0,0,3.289999962
200,unlikely,0,0,3.359999895
201,unlikely,1,1,2.849999905
202,unlikely,0,0,2.789999962
203,somewhat likely,0,0,3.690000057
204,very likely,0,0,3.559999943
205,unlikely,0,0,3.519999981
206,unlikely,1,1,3.380000114
207,very likely,0,1,3.109999895
208,somewhat likely,1,0,3.200000048
209,unlikely,0,0,2.829999924
210,unlikely,0,0,3.079999924
211,very likely,0,1,2.970000029
212,unlikely,0,0,2.640000105
213,unlikely,0,0,2.470000029
214,very likely,0,0,3.069999933
215,somewhat likely,0,0,3.200000048
216,unlikely,0,0,2.549999952
217,unlikely,0,0,2.480000019
218,unlikely,0,0,3.289999962
219,somewhat likely,0,0,2.640000105
220,somewhat likely,0,0,3.220000029
221,somewhat likely,1,0,2.799999952
222,somewhat likely,0,0,3.619999886
223,unlikely,0,0,2.619999886
224,somewhat likely,0,1,3.039999962
225,unlikely,0,1,2.49000001
226,unlikely,0,1,3.099999905
227,very likely,1,0,3.150000095
228,somewhat likely,0,0,2.650000095
229,unlikely,0,0,3.039999962
230,unlikely,0,1,3.049999952
231,unlikely,0,0,2.880000114
232,somewhat likely,0,0,2.859999895
233,somewhat likely,0,0,3
234,unlikely,0,0,2.230000019
235,unlikely,0,1,3.140000105
236,unlikely,0,0,2.670000076
237,unlikely,0,0,3.109999895
238,somewhat likely,0,0,3.730000019
239,somewhat likely,0,0,2.450000048
240,unlikely,0,0,3.039999962
241,unlikely,0,0,2.400000095
242,somewhat likely,0,0,3.430000067
243,somewhat likely,0,0,2.569999933
244,unlikely,0,0,2.839999914
245,unlikely,0,0,2.670000076
246,very likely,1,1,3.450000048
247,somewhat likely,1,0,2.880000114
248,somewhat likely,0,0,2.779999971
249,unlikely,0,0,3.220000029
250,unlikely,1,0,3.299999952
251,somewhat likely,1,0,2.859999895
252,somewhat likely,0,0,2.829999924
253,somewhat likely,0,0,3.700000048
254,somewhat likely,0,0,3.150000095
255,somewhat likely,1,1,3.079999924
256,unlikely,0,0,2.920000076
257,unlikely,0,0,2.890000105
258,very likely,1,0,3.529999971
259,unlikely,0,0,3.099999905
260,somewhat likely,1,0,3.359999895
261,somewhat likely,0,0,2.74000001
262,somewhat likely,0,0,2.730000019
263,unlikely,1,0,2.720000029
264,unlikely,0,0,3.529999971
265,unlikely,1,0,3.450000048
266,unlikely,0,0,2.980000019
267,somewhat likely,0,0,2.880000114
268,very likely,1,0,3.210000038
269,unlikely,0,0,3.059999943
270,unlikely,0,0,2.400000095
271,somewhat likely,0,0,3.569999933
272,unlikely,1,0,2.880000114
273,unlikely,0,0,3.269999981
274,unlikely,0,0,2.920000076
275,very likely,0,0,2.700000048
276,somewhat likely,1,0,2.529999971
277,somewhat likely,0,0,3.380000114
278,unlikely,0,0,3.160000086
279,somewhat likely,0,0,2.599999905
280,unlikely,0,0,2.75999999
281,unlikely,0,0,3.559999943
282,unlikely,0,0,2.869999886
283,somewhat likely,1,0,2.99000001
284,unlikely,0,0,2.680000067
285,unlikely,0,0,2.99000001
286,somewhat likely,0,0,2.960000038
287,unlikely,1,1,2.769999981
288,somewhat likely,0,0,3.279999971
289,unlikely,0,1,2.74000001
290,unlikely,0,0,1.899999976
291,unlikely,0,0,3.049999952
292,somewhat likely,0,1,2.440000057
293,somewhat likely,0,0,3.329999924
294,somewhat likely,0,1,3.559999943
295,unlikely,0,0,2.150000095
296,unlikely,0,0,2.829999924
297,somewhat likely,0,0,2.789999962
298,somewhat likely,0,0,2.720000029
299,very likely,1,0,3.039999962
300,unlikely,0,1,3.029999971
301,unlikely,0,0,2.880000114
302,somewhat likely,0,0,3.210000038
303,unlikely,0,0,2.74000001
304,unlikely,0,0,3.569999933
305,somewhat likely,0,0,2.430000067
306,unlikely,0,0,3.109999895
307,unlikely,0,0,2.75999999
308,somewhat likely,0,0,3.130000114
309,unlikely,0,0,2.75
310,unlikely,0,0,2.599999905
311,unlikely,0,0,3.670000076
312,unlikely,0,0,3.25999999
313,unlikely,0,0,3.410000086
314,very likely,0,0,3.24000001
315,unlikely,0,0,3.049999952
316,somewhat likely,1,0,2.380000114
317,somewhat likely,0,0,2.609999895
318,somewhat likely,1,1,3.180000067
319,unlikely,0,0,3.339999914
320,somewhat likely,0,0,2.839999914
321,unlikely,0,0,2.799999952
322,unlikely,0,0,3.210000038
323,unlikely,0,0,2.630000114
324,unlikely,0,0,2.309999943
325,unlikely,0,0,2.289999962
326,unlikely,0,0,3.50999999
327,somewhat likely,0,0,2.869999886
328,unlikely,0,0,3.089999914
329,somewhat likely,1,0,2.880000114
330,unlikely,1,0,2.470000029
331,somewhat likely,0,1,3.720000029
332,unlikely,0,0,3.200000048
333,somewhat likely,0,0,2.569999933
334,unlikely,0,0,3.049999952
335,unlikely,0,0,3.269999981
336,unlikely,0,0,3.299999952
337,unlikely,0,0,2.730000019
338,unlikely,1,0,2.630000114
339,unlikely,0,0,2.769999981
340,unlikely,0,0,3.150000095
341,unlikely,0,0,2.849999905
342,unlikely,0,0,2.25
343,somewhat likely,0,0,3.559999943
344,unlikely,0,0,2.700000048
345,very likely,0,0,2.940000057
346,somewhat likely,1,0,2.579999924
347,somewhat likely,0,0,2.970000029
348,very likely,0,0,3.380000114
349,very likely,0,0,2.960000038
350,unlikely,0,0,2.440000057
351,somewhat likely,0,1,3.75
352,somewhat likely,0,0,3.069999933
353,somewhat likely,0,0,2.720000029
354,unlikely,0,0,3.130000114
355,unlikely,0,0,3.390000105
356,unlikely,0,1,2.380000114
357,somewhat likely,0,0,2.869999886
358,unlikely,0,1,2.910000086
359,very likely,1,0,3.25
360,somewhat likely,1,1,3.50999999
361,unlikely,1,0,3.650000095
362,somewhat likely,0,0,3.109999895
363,very likely,0,0,2.710000038
364,unlikely,0,0,3.049999952
365,unlikely,0,0,2.930000067
366,somewhat likely,0,0,2.349999905
367,somewhat likely,0,0,2.49000001
368,unlikely,0,0,3.25999999
369,unlikely,0,0,3.769999981
370,unlikely,0,1,3.49000001
371,unlikely,0,0,3.390000105
372,unlikely,0,0,3.369999886
373,unlikely,0,0,1.980000019
374,unlikely,1,0,2.930000067
375,unlikely,0,0,3.359999895
376,unlikely,0,0,3.119999886
377,somewhat likely,0,0,3.230000019
378,somewhat likely,0,1,3.900000095
379,unlikely,0,0,2.700000048
380,unlikely,0,0,2.339999914
381,unlikely,0,0,3.299999952
382,somewhat likely,0,0,3.109999895
383,unlikely,0,0,3.140000105
384,somewhat likely,1,0,3.680000067
385,somewhat likely,0,0,2.220000029
386,unlikely,0,0,2.609999895
387,somewhat likely,0,1,3.480000019
388,very likely,0,0,3.079999924
389,unlikely,0,0,2.789999962
390,unlikely,0,0,3.119999886
391,unlikely,0,1,2.670000076
392,somewhat likely,0,0,3.539999962
393,very likely,0,0,2.980000019
394,somewhat likely,1,0,3.319999933
395,somewhat likely,1,0,3.539999962
396,unlikely,0,0,3.700000048
397,unlikely,0,0,2.630000114
398,somewhat likely,0,0,2.25
399,somewhat likely,0,0,3.25999999
400,very likely,0,0,3.519999981